timestamp, IGNORE, OPEN, HIGH, LOW, CLOSE, IGNORE, VOL
2018-12-01 12-AM,BTCUSD,3969.4,3977,3947.8,3972.1,138.57,548549.9
2018-11-30 11-PM,BTCUSD,3946.7,4000,3934.9,3969.4,355.23,1411896.42
2018-11-30 10-PM,BTCUSD,3927.3,3983.8,3888.9,3946.7,751.45,2940643.13
2018-11-30 09-PM,BTCUSD,3958.3,3976.4,3870.7,3927.3,767.7,3010462.42
2018-11-30 08-PM,BTCUSD,3960,3979.7,3935.4,3958.3,196.81,779526.03
2018-11-30 07-PM,BTCUSD,3965,3995.8,3959.9,3960,200.85,798246.25
2018-11-30 06-PM,BTCUSD,3991.9,4005.4,3960.1,3965,173.38,690416.34
2018-11-30 05-PM,BTCUSD,4014,4020,3978.2,3991.9,160.99,643509.49
2018-11-30 04-PM,BTCUSD,3969,4018.9,3951.7,4014,435.71,1734063.85
2018-11-30 03-PM,BTCUSD,3972.3,3978.2,3903.9,3969,816.64,3227314.06
2018-11-30 02-PM,BTCUSD,3976.2,3990,3924.1,3972.3,414.26,1639340.67
2018-11-30 01-PM,BTCUSD,3963.3,4019,3947.6,3976.2,741.18,2950906.53
2018-11-30 12-PM,BTCUSD,3938.1,3986.3,3856.9,3963.3,1422.99,5583333.2
2018-11-30 11-AM,BTCUSD,4013.3,4019.9,3912.9,3938.1,2614.47,10345946.78
2018-11-30 10-AM,BTCUSD,4159.2,4159.2,4012.1,4013.3,1445.73,5875852.14
2018-11-30 09-AM,BTCUSD,4166.5,4193.5,4143,4159.2,451.38,1880109.19
2018-11-30 08-AM,BTCUSD,4170,4203.7,4130.9,4166.5,281.01,1170896.23
2018-11-30 07-AM,BTCUSD,4235.5,4239.5,4147.6,4170,541.14,2262369.18
2018-11-30 06-AM,BTCUSD,4267.4,4280.8,4227.5,4235.5,323.17,1378147.09
2018-11-30 05-AM,BTCUSD,4269.4,4300,4257.9,4267.4,450.58,1930468.6
2018-11-30 04-AM,BTCUSD,4259.1,4293.9,4227.3,4269.4,432.36,1838039.87
2018-11-30 03-AM,BTCUSD,4264.9,4287,4231.4,4259.1,391.43,1667537.06
2018-11-30 02-AM,BTCUSD,4204.9,4287,4198.6,4264.9,577.78,2452590.56
2018-11-30 01-AM,BTCUSD,4199.3,4224.8,4170,4204.9,277.02,1162063.48
2018-11-30 12-AM,BTCUSD,4241.9,4259.9,4174.1,4199.3,365.66,1538888.19
2018-11-29 11-PM,BTCUSD,4226.9,4263.9,4218.2,4241.9,460.5,1954090.36
2018-11-29 10-PM,BTCUSD,4185,4236.3,4160,4226.9,306.08,1286954.26
2018-11-29 09-PM,BTCUSD,4192.2,4196.9,4106,4185,704.52,2921032.26
2018-11-29 08-PM,BTCUSD,4188,4233.8,4158,4192.2,252.54,1060455.1
2018-11-29 07-PM,BTCUSD,4216.6,4225.2,4150,4188,700.34,2926135.93
2018-11-29 06-PM,BTCUSD,4279.7,4315.8,4191.1,4216.6,394.83,1682428.09
2018-11-29 05-PM,BTCUSD,4303.7,4347.9,4265.4,4279.7,441.87,1904453.86
2018-11-29 04-PM,BTCUSD,4242.7,4328.1,4242.7,4303.7,329.95,1414977.06
2018-11-29 03-PM,BTCUSD,4256.2,4292.6,4223.1,4242.7,519.81,2214309.95
2018-11-29 02-PM,BTCUSD,4257.2,4312.7,4256.2,4256.2,607.16,2601979.09
2018-11-29 01-PM,BTCUSD,4231.2,4288.8,4196.1,4257.2,660.93,2806420.83
2018-11-29 12-PM,BTCUSD,4348,4359.2,4227.1,4231.2,628.22,2704197.47
2018-11-29 11-AM,BTCUSD,4300,4441,4300,4348,816.27,3568660.74
2018-11-29 10-AM,BTCUSD,4316.7,4349.6,4288.3,4300,333.68,1438909.0
2018-11-29 09-AM,BTCUSD,4204.9,4374.9,4204.9,4316.7,925.46,3982474.03
2018-11-29 08-AM,BTCUSD,4162,4218.6,4153,4204.9,202.37,848244.57
2018-11-29 07-AM,BTCUSD,4182.1,4186.3,4124.1,4162,234.18,973077.9
2018-11-29 06-AM,BTCUSD,4189.6,4204,4162.9,4182.1,141.31,591153.94
2018-11-29 05-AM,BTCUSD,4146.1,4231.4,4135.9,4189.6,460.02,1927946.24
2018-11-29 04-AM,BTCUSD,4122.8,4159.9,4090,4146.1,290.54,1201172.21
2018-11-29 03-AM,BTCUSD,4156.6,4158.3,4114.3,4122.8,145.54,602127.69
2018-11-29 02-AM,BTCUSD,4121.4,4169.1,4104.1,4156.6,525.83,2172892.24
2018-11-29 01-AM,BTCUSD,4218.8,4218.8,4066,4121.4,835.94,3448142.75
2018-11-29 12-AM,BTCUSD,4219.8,4244.3,4191.7,4218.8,251.44,1059567.19
2018-11-28 11-PM,BTCUSD,4192.3,4239.8,4177.1,4219.8,454.16,1910786.02
2018-11-28 10-PM,BTCUSD,4222,4234,4151.2,4192.3,680.3,2852775.05
